img_path,img_gt_class_labels,img_gt_bbox_coords
VOCdevkit/VOC2012/JPEGImages/2010_005310.jpg,"[1, 1, 1]","[[301.0, 93.0, 474.0, 347.0], [80.0, 77.0, 201.0, 199.0], [49.0, 156.0, 98.0, 184.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_002461.jpg,[18],"[[89.0, 10.0, 403.0, 371.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_005432.jpg,[7],"[[36.0, 71.0, 487.0, 319.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_001516.jpg,[12],"[[48.0, 139.0, 500.0, 289.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_006027.jpg,"[14, 5]","[[153.0, 265.0, 217.0, 375.0], [121.0, 58.0, 499.0, 374.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_002505.jpg,[5],"[[331.0, 293.0, 465.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_002356.jpg,"[17, 17, 5, 5, 7]","[[147.0, 18.0, 454.0, 266.0], [43.0, 68.0, 198.0, 244.0], [294.0, 177.0, 340.0, 277.0], [260.0, 156.0, 294.0, 256.0], [479.0, 190.0, 500.0, 215.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_001595.jpg,[5],"[[127.0, 94.0, 229.0, 498.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_000675.jpg,"[16, 16, 16, 16, 16, 16, 16, 16, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[[434.0, 180.0, 500.0, 251.0], [296.0, 160.0, 433.0, 270.0], [122.0, 167.0, 188.0, 311.0], [33.0, 179.0, 77.0, 230.0], [182.0, 176.0, 225.0, 210.0], [233.0, 178.0, 267.0, 208.0], [196.0, 198.0, 270.0, 254.0], [208.0, 175.0, 248.0, 211.0], [1.0, 177.0, 25.0, 241.0], [121.0, 102.0, 186.0, 231.0], [218.0, 174.0, 240.0, 260.0], [481.0, 137.0, 500.0, 220.0], [336.0, 131.0, 366.0, 221.0], [45.0, 170.0, 67.0, 215.0], [197.0, 165.0, 216.0, 203.0], [239.0, 163.0, 254.0, 207.0], [365.0, 147.0, 384.0, 171.0], [382.0, 145.0, 395.0, 165.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_002979.jpg,"[5, 5]","[[171.0, 158.0, 229.0, 298.0], [73.0, 162.0, 162.0, 345.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000361.jpg,"[15, 11, 5, 5]","[[57.0, 98.0, 345.0, 375.0], [407.0, 49.0, 500.0, 244.0], [144.0, 99.0, 340.0, 375.0], [1.0, 172.0, 229.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_004543.jpg,[16],"[[162.0, 119.0, 276.0, 292.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_001945.jpg,[8],"[[178.0, 176.0, 228.0, 221.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_006554.jpg,[5],"[[39.0, 63.0, 391.0, 304.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_002674.jpg,[0],"[[119.0, 66.0, 408.0, 413.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000324.jpg,[5],"[[29.0, 1.0, 255.0, 324.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_005098.jpg,"[1, 1]","[[60.0, 126.0, 412.0, 375.0], [83.0, 34.0, 484.0, 305.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_002856.jpg,[6],"[[74.0, 9.0, 336.0, 409.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_006833.jpg,[5],"[[158.0, 193.0, 241.0, 464.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_005588.jpg,[5],"[[156.0, 75.0, 276.0, 201.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_004917.jpg,[3],"[[299.0, 190.0, 377.0, 268.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_001894.jpg,[5],"[[105.0, 115.0, 500.0, 352.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_002452.jpg,"[11, 4, 11, 11, 11]","[[109.0, 220.0, 233.0, 445.0], [49.0, 244.0, 289.0, 422.0], [249.0, 221.0, 283.0, 407.0], [42.0, 221.0, 90.0, 408.0], [66.0, 221.0, 92.0, 253.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_003799.jpg,[5],"[[1.0, 65.0, 392.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_005188.jpg,"[11, 5]","[[159.0, 147.0, 324.0, 364.0], [164.0, 85.0, 442.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_002061.jpg,"[5, 5, 1]","[[456.0, 3.0, 500.0, 375.0], [175.0, 81.0, 326.0, 375.0], [191.0, 226.0, 322.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_002913.jpg,[2],"[[18.0, 1.0, 368.0, 333.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_003932.jpg,"[5, 5, 5]","[[1.0, 56.0, 168.0, 360.0], [192.0, 65.0, 308.0, 360.0], [324.0, 24.0, 480.0, 360.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_005942.jpg,[5],"[[145.0, 163.0, 257.0, 425.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_001283.jpg,"[15, 5, 5, 5]","[[55.0, 172.0, 484.0, 374.0], [77.0, 166.0, 255.0, 375.0], [218.0, 148.0, 451.0, 375.0], [330.0, 162.0, 489.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_000741.jpg,"[7, 7, 5]","[[413.0, 56.0, 500.0, 133.0], [6.0, 38.0, 500.0, 375.0], [127.0, 91.0, 229.0, 164.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_001594.jpg,[5],"[[149.0, 62.0, 243.0, 265.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_006962.jpg,[5],"[[232.0, 188.0, 417.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_000591.jpg,[7],"[[21.0, 28.0, 500.0, 326.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_003802.jpg,"[16, 16, 16, 5, 5, 5]","[[178.0, 119.0, 370.0, 245.0], [38.0, 97.0, 197.0, 245.0], [1.0, 114.0, 77.0, 240.0], [268.0, 106.0, 321.0, 166.0], [90.0, 91.0, 151.0, 162.0], [1.0, 97.0, 37.0, 140.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_005120.jpg,"[1, 1, 1]","[[261.0, 153.0, 393.0, 278.0], [186.0, 174.0, 334.0, 297.0], [17.0, 184.0, 200.0, 311.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_004282.jpg,[5],"[[46.0, 11.0, 493.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_007444.jpg,"[16, 16]","[[83.0, 20.0, 409.0, 358.0], [1.0, 1.0, 166.0, 320.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_000523.jpg,[7],"[[10.0, 177.0, 375.0, 480.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_002133.jpg,[19],"[[1.0, 1.0, 483.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_001776.jpg,"[6, 6]","[[94.0, 146.0, 416.0, 374.0], [38.0, 17.0, 385.0, 225.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_004355.jpg,"[5, 5, 5]","[[118.0, 140.0, 214.0, 375.0], [201.0, 137.0, 277.0, 375.0], [264.0, 116.0, 354.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_001605.jpg,"[15, 6, 5, 5, 5, 10, 14]","[[68.0, 59.0, 500.0, 269.0], [153.0, 140.0, 270.0, 267.0], [27.0, 1.0, 152.0, 259.0], [84.0, 42.0, 487.0, 154.0], [1.0, 133.0, 94.0, 359.0], [1.0, 1.0, 34.0, 68.0], [369.0, 279.0, 423.0, 324.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_001414.jpg,[18],"[[57.0, 31.0, 482.0, 401.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_004011.jpg,[5],"[[161.0, 281.0, 252.0, 431.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_002724.jpg,[5],"[[168.0, 12.0, 500.0, 403.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_001903.jpg,[5],"[[92.0, 38.0, 258.0, 484.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_004289.jpg,"[19, 19]","[[158.0, 176.0, 251.0, 235.0], [158.0, 109.0, 331.0, 233.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_001266.jpg,"[13, 5, 5]","[[22.0, 12.0, 476.0, 356.0], [194.0, 1.0, 237.0, 40.0], [439.0, 1.0, 500.0, 210.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_004880.jpg,"[12, 5, 5]","[[51.0, 126.0, 259.0, 243.0], [369.0, 221.0, 387.0, 264.0], [389.0, 218.0, 401.0, 259.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_002624.jpg,"[12, 12]","[[50.0, 54.0, 392.0, 297.0], [15.0, 200.0, 305.0, 275.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_006409.jpg,"[5, 5]","[[393.0, 38.0, 441.0, 205.0], [14.0, 36.0, 75.0, 189.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_004367.jpg,[5],"[[348.0, 103.0, 426.0, 241.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_007496.jpg,[18],"[[25.0, 14.0, 467.0, 292.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_000884.jpg,"[7, 7]","[[171.0, 170.0, 419.0, 251.0], [1.0, 169.0, 138.0, 263.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_000297.jpg,[9],"[[48.0, 1.0, 500.0, 333.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_005229.jpg,[6],"[[62.0, 83.0, 282.0, 400.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_003991.jpg,"[5, 5]","[[67.0, 111.0, 221.0, 375.0], [271.0, 111.0, 379.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000203.jpg,"[6, 6]","[[76.0, 75.0, 362.0, 210.0], [236.0, 201.0, 463.0, 354.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_005024.jpg,[12],"[[107.0, 180.0, 241.0, 317.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_000441.jpg,[5],"[[426.0, 160.0, 479.0, 321.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_001770.jpg,[7],"[[113.0, 182.0, 155.0, 197.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_002455.jpg,"[5, 5, 5]","[[54.0, 141.0, 128.0, 292.0], [194.0, 132.0, 252.0, 255.0], [313.0, 125.0, 371.0, 215.0]]"
VOCdevkit/VOC2012/JPEGImages/2007_005450.jpg,[5],"[[7.0, 123.0, 342.0, 500.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_000197.jpg,"[5, 2, 2]","[[401.0, 121.0, 423.0, 178.0], [418.0, 155.0, 465.0, 171.0], [376.0, 162.0, 431.0, 183.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_001270.jpg,[18],"[[81.0, 150.0, 438.0, 436.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_002309.jpg,"[6, 6]","[[239.0, 128.0, 361.0, 282.0], [132.0, 92.0, 180.0, 157.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_003405.jpg,"[5, 5]","[[200.0, 65.0, 339.0, 298.0], [421.0, 109.0, 500.0, 333.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000238.jpg,"[5, 5, 3, 5]","[[166.0, 140.0, 213.0, 266.0], [233.0, 144.0, 280.0, 235.0], [258.0, 15.0, 500.0, 280.0], [1.0, 154.0, 22.0, 197.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_002195.jpg,"[3, 3, 3, 3, 3, 5]","[[373.0, 10.0, 440.0, 44.0], [277.0, 10.0, 338.0, 40.0], [197.0, 11.0, 252.0, 36.0], [87.0, 7.0, 151.0, 39.0], [40.0, 1.0, 110.0, 45.0], [398.0, 57.0, 406.0, 74.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_002245.jpg,[5],"[[1.0, 81.0, 276.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_004973.jpg,"[5, 5, 5]","[[200.0, 156.0, 283.0, 427.0], [130.0, 157.0, 211.0, 390.0], [69.0, 147.0, 159.0, 410.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_003416.jpg,[5],"[[45.0, 84.0, 102.0, 221.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_004758.jpg,[2],"[[8.0, 45.0, 372.0, 353.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_003605.jpg,"[18, 15]","[[120.0, 36.0, 500.0, 332.0], [1.0, 1.0, 500.0, 332.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_005845.jpg,[5],"[[337.0, 1.0, 500.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_000595.jpg,"[5, 5]","[[199.0, 84.0, 361.0, 376.0], [344.0, 81.0, 491.0, 377.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_002207.jpg,"[0, 0, 0, 0]","[[248.0, 183.0, 275.0, 213.0], [269.0, 178.0, 306.0, 195.0], [1.0, 23.0, 38.0, 48.0], [442.0, 35.0, 492.0, 73.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_004974.jpg,[7],"[[168.0, 133.0, 337.0, 247.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_003429.jpg,[1],"[[93.0, 21.0, 418.0, 332.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_006367.jpg,[5],"[[62.0, 40.0, 222.0, 327.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_002229.jpg,[5],"[[104.0, 170.0, 140.0, 229.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_003199.jpg,[5],"[[41.0, 40.0, 288.0, 396.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000639.jpg,"[9, 6, 11]","[[236.0, 77.0, 423.0, 357.0], [119.0, 161.0, 230.0, 344.0], [1.0, 1.0, 113.0, 304.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000759.jpg,[5],"[[222.0, 122.0, 271.0, 290.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_000045.jpg,[12],"[[45.0, 42.0, 455.0, 342.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_002879.jpg,"[15, 10]","[[1.0, 214.0, 56.0, 375.0], [171.0, 125.0, 330.0, 239.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_000858.jpg,"[12, 5, 5, 5]","[[185.0, 64.0, 499.0, 381.0], [97.0, 78.0, 342.0, 359.0], [243.0, 102.0, 309.0, 314.0], [43.0, 111.0, 121.0, 199.0]]"
VOCdevkit/VOC2012/JPEGImages/2007_005107.jpg,"[2, 5]","[[54.0, 195.0, 273.0, 337.0], [271.0, 138.0, 288.0, 192.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_001493.jpg,"[5, 5, 5, 5, 5, 11, 5, 5]","[[131.0, 21.0, 262.0, 369.0], [245.0, 80.0, 341.0, 368.0], [318.0, 53.0, 423.0, 375.0], [6.0, 66.0, 157.0, 375.0], [442.0, 64.0, 481.0, 197.0], [434.0, 199.0, 500.0, 375.0], [401.0, 72.0, 421.0, 108.0], [406.0, 68.0, 440.0, 192.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_005732.jpg,[5],"[[77.0, 72.0, 307.0, 500.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_005984.jpg,"[17, 5, 5, 7]","[[21.0, 34.0, 497.0, 357.0], [2.0, 193.0, 11.0, 221.0], [15.0, 194.0, 24.0, 221.0], [1.0, 191.0, 24.0, 214.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_003510.jpg,"[5, 5, 5]","[[16.0, 97.0, 171.0, 375.0], [282.0, 80.0, 500.0, 375.0], [197.0, 125.0, 345.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_003383.jpg,"[17, 5]","[[25.0, 22.0, 465.0, 315.0], [441.0, 167.0, 465.0, 263.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_004640.jpg,[18],"[[15.0, 123.0, 500.0, 272.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_004570.jpg,[5],"[[1.0, 1.0, 430.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000754.jpg,"[4, 11, 11, 11, 11, 11, 11, 14, 14, 14]","[[53.0, 206.0, 396.0, 333.0], [13.0, 233.0, 139.0, 333.0], [185.0, 234.0, 335.0, 333.0], [284.0, 216.0, 406.0, 333.0], [284.0, 194.0, 382.0, 333.0], [81.0, 205.0, 155.0, 236.0], [165.0, 198.0, 216.0, 224.0], [185.0, 143.0, 213.0, 156.0], [188.0, 122.0, 213.0, 135.0], [186.0, 113.0, 208.0, 124.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_007966.jpg,"[5, 5, 14, 14, 14, 8, 8, 5, 5]","[[53.0, 45.0, 246.0, 375.0], [334.0, 53.0, 500.0, 375.0], [166.0, 205.0, 189.0, 292.0], [267.0, 116.0, 289.0, 163.0], [249.0, 131.0, 272.0, 162.0], [1.0, 134.0, 94.0, 236.0], [72.0, 124.0, 107.0, 148.0], [84.0, 46.0, 127.0, 89.0], [18.0, 37.0, 70.0, 94.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_001631.jpg,[5],"[[76.0, 104.0, 461.0, 333.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_005699.jpg,[18],"[[1.0, 60.0, 321.0, 500.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_000596.jpg,"[5, 5, 5, 5]","[[93.0, 133.0, 125.0, 232.0], [330.0, 133.0, 452.0, 375.0], [165.0, 159.0, 221.0, 279.0], [275.0, 132.0, 309.0, 205.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_001723.jpg,"[4, 4, 11, 11, 11, 11]","[[209.0, 262.0, 500.0, 375.0], [139.0, 226.0, 311.0, 351.0], [228.0, 275.0, 291.0, 375.0], [117.0, 230.0, 209.0, 351.0], [289.0, 222.0, 328.0, 266.0], [234.0, 227.0, 310.0, 276.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_002433.jpg,"[11, 11, 11, 11, 11, 11, 11, 5, 5, 5, 14, 14, 14, 5, 5, 5, 5, 5, 9, 4]","[[305.0, 194.0, 340.0, 201.0], [384.0, 201.0, 417.0, 228.0], [390.0, 224.0, 412.0, 311.0], [333.0, 231.0, 392.0, 320.0], [287.0, 247.0, 376.0, 333.0], [198.0, 283.0, 288.0, 333.0], [70.0, 254.0, 178.0, 333.0], [253.0, 134.0, 270.0, 169.0], [265.0, 122.0, 316.0, 203.0], [243.0, 164.0, 282.0, 209.0], [320.0, 181.0, 329.0, 201.0], [296.0, 194.0, 309.0, 227.0], [238.0, 198.0, 250.0, 234.0], [182.0, 164.0, 227.0, 226.0], [123.0, 173.0, 194.0, 312.0], [80.0, 184.0, 195.0, 333.0], [450.0, 116.0, 470.0, 129.0], [407.0, 88.0, 500.0, 333.0], [416.0, 10.0, 500.0, 333.0], [139.0, 200.0, 399.0, 333.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_008437.jpg,"[19, 19]","[[39.0, 27.0, 412.0, 330.0], [6.0, 160.0, 29.0, 189.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_001281.jpg,[5],"[[332.0, 75.0, 419.0, 264.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_000015.jpg,[2],"[[96.0, 174.0, 203.0, 345.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000211.jpg,[7],"[[9.0, 12.0, 500.0, 323.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_003949.jpg,[5],"[[323.0, 125.0, 390.0, 252.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_004812.jpg,"[1, 1, 1, 1]","[[230.0, 129.0, 445.0, 316.0], [117.0, 106.0, 215.0, 229.0], [149.0, 49.0, 205.0, 112.0], [94.0, 46.0, 161.0, 114.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_005538.jpg,[3],"[[163.0, 49.0, 402.0, 248.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_005586.jpg,[5],"[[120.0, 46.0, 302.0, 383.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_000953.jpg,"[5, 5, 14, 7, 7]","[[168.0, 148.0, 232.0, 329.0], [154.0, 83.0, 250.0, 200.0], [342.0, 1.0, 363.0, 36.0], [122.0, 1.0, 233.0, 41.0], [269.0, 1.0, 327.0, 38.0]]"
